Namespace(cfg_file='config/extractor/train_extractor_pointnet2.yml', use_sgd=True, no_cuda=False, eval=False, model_path=None)
Using GPU : 0 from 1 devices
PointNet2(
  (sa1): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(3, 64, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(64, 64, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0-1): 2 x BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (sa2): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(131, 128, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0-1): 2 x BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (sa3): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(259, 256, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(256, 512, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(512, 1024, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (1): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop1): Dropout(p=0.4, inplace=False)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop2): Dropout(p=0.4, inplace=False)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
)
NUMBER OF TRAINABLE PARAMS: 1475688
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.1
    lr: 0.1
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
Train 0, loss: 3.207777, train acc: 0.246030, train avg acc: 0.138467
Test 0, loss: 2.881745, test acc: 0.310778, test avg acc: 0.230785
Train 1, loss: 2.766949, train acc: 0.379886, train avg acc: 0.241342
Test 1, loss: 2.535711, test acc: 0.462723, test avg acc: 0.350029
Train 2, loss: 2.637934, train acc: 0.427015, train avg acc: 0.284618
Test 2, loss: 2.451179, test acc: 0.487034, test avg acc: 0.371866
Train 3, loss: 2.539476, train acc: 0.467936, train avg acc: 0.328846
Test 3, loss: 2.439328, test acc: 0.507699, test avg acc: 0.402936
Train 4, loss: 2.496357, train acc: 0.492671, train avg acc: 0.354924
Test 4, loss: 2.293254, test acc: 0.546191, test avg acc: 0.455140
Train 5, loss: 2.439165, train acc: 0.508143, train avg acc: 0.375566
Test 5, loss: 2.311909, test acc: 0.542950, test avg acc: 0.445273
Train 6, loss: 2.402229, train acc: 0.529011, train avg acc: 0.390984
Test 6, loss: 2.267043, test acc: 0.550243, test avg acc: 0.467651
Train 7, loss: 2.362108, train acc: 0.545297, train avg acc: 0.417185
Test 7, loss: 2.294459, test acc: 0.555916, test avg acc: 0.484017
Train 8, loss: 2.350133, train acc: 0.544890, train avg acc: 0.415628
Test 8, loss: 2.215216, test acc: 0.580632, test avg acc: 0.483686
Train 9, loss: 2.312697, train acc: 0.569727, train avg acc: 0.442694
Test 9, loss: 2.128607, test acc: 0.614263, test avg acc: 0.535587
Train 10, loss: 2.300436, train acc: 0.569625, train avg acc: 0.447572
Test 10, loss: 2.145030, test acc: 0.609806, test avg acc: 0.501535
Train 11, loss: 2.270842, train acc: 0.576242, train avg acc: 0.448747
Test 11, loss: 2.107272, test acc: 0.640194, test avg acc: 0.531529
Train 12, loss: 2.261638, train acc: 0.585403, train avg acc: 0.457262
Test 12, loss: 2.120565, test acc: 0.638169, test avg acc: 0.546616
Train 13, loss: 2.243711, train acc: 0.593750, train avg acc: 0.473370
Test 13, loss: 2.033183, test acc: 0.667342, test avg acc: 0.565959
Train 14, loss: 2.211644, train acc: 0.605965, train avg acc: 0.486120
Test 14, loss: 2.150718, test acc: 0.602512, test avg acc: 0.501157
Train 15, loss: 2.202603, train acc: 0.615126, train avg acc: 0.491551
Test 15, loss: 2.040131, test acc: 0.661669, test avg acc: 0.560895
Train 16, loss: 2.198350, train acc: 0.615024, train avg acc: 0.492958
Test 16, loss: 1.999709, test acc: 0.696921, test avg acc: 0.607093
Train 17, loss: 2.188646, train acc: 0.619503, train avg acc: 0.498649
Test 17, loss: 2.100472, test acc: 0.651135, test avg acc: 0.562959
Train 18, loss: 2.167121, train acc: 0.631311, train avg acc: 0.518541
