Namespace(cfg_file='config/extractor/train_extractor_pointnet.yml', use_sgd=True, no_cuda=False, eval=False, model_path=None)
Using GPU : 0 from 2 devices
PointNet(
  (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,), bias=False)
  (conv2): Conv1d(64, 64, kernel_size=(1,), stride=(1,), bias=False)
  (conv3): Conv1d(64, 64, kernel_size=(1,), stride=(1,), bias=False)
  (conv4): Conv1d(64, 128, kernel_size=(1,), stride=(1,), bias=False)
  (conv5): Conv1d(128, 1024, kernel_size=(1,), stride=(1,), bias=False)
  (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn3): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn4): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (linear1): Linear(in_features=1024, out_features=512, bias=False)
  (bn6): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dp1): Dropout(p=0.5, inplace=False)
  (linear2): Linear(in_features=512, out_features=256, bias=True)
  (bn7): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dp2): Dropout(p=0.5, inplace=False)
  (linearf): Linear(in_features=256, out_features=40, bias=True)
)
NUMBER OF TRAINABLE PARAMS: 817768
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.1
    lr: 0.1
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
Train 0, loss: 3.639866, train acc: 0.095175, train avg acc: 0.040037
Test 0, loss: 3.396529, test acc: 0.119125, test avg acc: 0.073500
Train 1, loss: 3.397688, train acc: 0.138233, train avg acc: 0.059170
Test 1, loss: 3.295429, test acc: 0.176256, test avg acc: 0.108750
Train 2, loss: 3.318891, train acc: 0.166226, train avg acc: 0.075461
Test 2, loss: 3.228495, test acc: 0.209887, test avg acc: 0.129500
Train 3, loss: 3.275577, train acc: 0.189434, train avg acc: 0.086986
Test 3, loss: 3.197926, test acc: 0.200567, test avg acc: 0.123750
Train 4, loss: 3.237653, train acc: 0.195440, train avg acc: 0.088654
Test 4, loss: 3.102136, test acc: 0.194084, test avg acc: 0.119750
Train 5, loss: 3.206623, train acc: 0.207349, train avg acc: 0.099465
Test 5, loss: 3.062332, test acc: 0.216775, test avg acc: 0.135750
Train 6, loss: 3.177143, train acc: 0.215798, train avg acc: 0.104120
Test 6, loss: 2.976166, test acc: 0.243517, test avg acc: 0.154250
Train 7, loss: 3.159232, train acc: 0.223840, train avg acc: 0.109245
Test 7, loss: 3.070638, test acc: 0.245948, test avg acc: 0.154750
Train 8, loss: 3.149892, train acc: 0.226486, train avg acc: 0.111104
Test 8, loss: 3.109199, test acc: 0.182334, test avg acc: 0.114826
Train 9, loss: 3.147207, train acc: 0.228522, train avg acc: 0.111539
Test 9, loss: 3.001143, test acc: 0.235008, test avg acc: 0.145000
Train 10, loss: 3.129521, train acc: 0.234324, train avg acc: 0.115413
Test 10, loss: 3.055118, test acc: 0.218801, test avg acc: 0.136081
Train 11, loss: 3.125915, train acc: 0.234935, train avg acc: 0.113313
Test 11, loss: 2.992794, test acc: 0.237439, test avg acc: 0.156640
Train 12, loss: 3.117540, train acc: 0.241450, train avg acc: 0.118915
Test 12, loss: 2.982879, test acc: 0.232982, test avg acc: 0.145750
